application_id,age,income_annual_inr,employment_type,employment_years,existing_loans,existing_emi_inr,credit_score,loan_amount_inr,loan_purpose,ltv_ratio,dti_ratio,default_flag
APP-0001,47,840000,self_employed,20,1,6772,681,500000,medical,0.61,0.15,0
APP-0002,56,300000,contract,7,3,44496,815,2500000,personal,0.52,2.58,1
APP-0003,45,2400000,contract,7,1,10560,596,500000,home,0.92,0.07,0
APP-0004,27,840000,government,13,0,0,548,2500000,home,0.63,0.29,0
APP-0005,56,300000,contract,17,1,12920,654,250000,vehicle,0.92,0.6,0
APP-0006,50,1200000,self_employed,17,1,3607,686,100000,home,0.49,0.04,0
APP-0007,48,300000,contract,3,1,8075,622,250000,personal,0.62,0.4,0
APP-0008,25,1800000,self_employed,15,2,23872,627,1000000,vehicle,0.59,0.21,0
APP-0009,25,420000,self_employed,20,3,15111,716,250000,vehicle,0.63,0.49,0
APP-0010,57,600000,contract,8,2,9840,705,500000,vehicle,0.77,0.28,0
APP-0011,22,1200000,salaried,11,1,9176,560,1000000,business,0.63,0.17,0
APP-0012,27,420000,salaried,12,3,30822,768,250000,education,0.87,0.94,1
APP-0013,41,300000,government,7,1,9284,641,100000,business,0.63,0.4,0
APP-0014,26,1200000,government,11,3,35208,807,250000,education,0.64,0.37,0
APP-0015,32,600000,contract,20,3,18558,558,500000,home,0.77,0.45,0
APP-0016,34,1800000,self_employed,9,3,43713,794,250000,business,0.87,0.3,0
APP-0017,47,300000,salaried,17,1,3021,486,5000000,vehicle,0.68,1.72,1
APP-0018,35,600000,contract,15,2,12562,652,5000000,home,0.95,1.05,0
APP-0019,26,1200000,salaried,2,3,23730,610,5000000,personal,0.72,0.64,1
APP-0020,28,2400000,contract,13,1,7338,754,1000000,education,0.47,0.08,0
APP-0021,50,2400000,contract,14,1,8895,679,2500000,medical,0.61,0.14,0
APP-0022,52,1200000,contract,6,0,0,743,250000,business,0.69,0.02,0
APP-0023,53,300000,government,1,2,26758,749,500000,vehicle,0.47,1.23,0
APP-0024,47,300000,salaried,11,1,12097,685,500000,vehicle,0.86,0.64,1
APP-0025,48,420000,self_employed,4,3,17445,663,100000,personal,0.91,0.52,0
APP-0026,33,1800000,government,18,0,0,795,100000,medical,0.47,0.01,0
APP-0027,56,300000,salaried,17,3,17184,595,250000,personal,0.73,0.77,0
APP-0028,32,600000,salaried,11,3,18240,790,500000,vehicle,0.81,0.44,0
APP-0029,55,1800000,salaried,8,3,42525,717,250000,personal,0.64,0.3,0
APP-0030,27,2400000,self_employed,6,3,27339,545,500000,education,0.72,0.16,0
APP-0031,23,600000,self_employed,5,0,0,704,100000,business,0.64,0.02,0
APP-0032,44,420000,government,11,2,7132,617,1000000,education,0.74,0.43,0
APP-0033,23,2400000,government,13,3,34179,650,250000,personal,0.62,0.18,1
APP-0034,37,1800000,government,6,0,0,545,100000,personal,0.92,0.01,0
APP-0035,30,420000,government,2,2,12004,605,100000,medical,0.42,0.37,0
APP-0036,50,300000,self_employed,19,1,8592,639,1000000,vehicle,0.66,0.66,0
APP-0037,45,1200000,self_employed,8,3,19242,672,2500000,vehicle,0.9,0.39,1
APP-0038,52,1800000,self_employed,6,2,11498,644,5000000,personal,0.77,0.34,0
APP-0039,56,300000,self_employed,8,1,14257,657,2500000,home,0.53,1.37,1
APP-0040,58,600000,contract,7,0,0,602,100000,home,0.64,0.02,0
APP-0041,25,1800000,government,6,2,28014,676,500000,vehicle,0.8,0.21,0
APP-0042,44,840000,self_employed,10,2,12490,784,1000000,home,0.92,0.29,0
APP-0043,36,420000,salaried,13,0,0,836,250000,personal,0.48,0.06,0
